# bicep3, run09 optical efficiency results, 20170201
BODY 
GCP,     MCE,     TILE,    MODULE, DET_COL, DET_ROW, MCE_COL, MCE_ROW, POL,    TYPE,   RGL,     RNTI,             PSAT_LN2,          PSAT_AMBIENT,      DPDT                 
,        ,        ,        ,       ,        ,        ,        ,        ,       ,       ,        mOhm,             pW @074K,          pW @242K,          pW/K                 
integer, integer, integer, string, integer, integer, integer, integer, string, string, integer, float,            float,             float,             float                
182,     0,       13,      P4,     1,       8,       8,       6,       B,      D,      1,       172.367379364814, NaN,               156.76247367089,   NaN                  
183,     0,       13,      P4,     2,       2,       8,       7,       A,      L,      1,       101.600697799634, 125.925802318648,  107.468772407201,  0.104869488133219    
184,     0,       13,      P4,     2,       2,       8,       8,       B,      L,      1,       97.2073446950019, 135.195589071128,  116.481811468222,  0.10632828183469     
185,     0,       13,      P4,     2,       4,       8,       9,       A,      L,      1,       92.0985856769249, 123.97923319701,   105.302912539893,  0.106115458279071    
186,     0,       13,      P4,     2,       4,       8,       10,      B,      L,      1,       90.6818778332754, 118.893623431122,  99.7892562191447,  0.108547540977146    
187,     0,       13,      P4,     2,       6,       8,       11,      A,      L,      1,       98.323956946747,  105.155028793401,  86.6215138556334,  0.105304062146406    
188,     0,       13,      P4,     2,       6,       8,       12,      B,      L,      1,       93.4973372265412, 121.510683425641,  102.212957919461,  0.109646167648752    
189,     0,       13,      P4,     2,       8,       8,       13,      A,      L,      1,       131.968297654374, 121.553714313644,  103.552257029879,  0.102281007294123    
190,     0,       13,      P4,     2,       8,       8,       14,      B,      L,      1,       117.570506363774, 141.201938028553,  132.145122452553,  0.0514591794090887   
191,     0,       13,      P4,     3,       2,       8,       15,      A,      L,      1,       92.1358476306596, 131.372263604018,  113.184705366901,  0.103338399074529    
192,     0,       13,      P4,     3,       2,       8,       16,      B,      L,      1,       92.4537002161394, 128.659172371355,  110.358886387732,  0.103978897634218    
193,     0,       13,      P4,     3,       4,       8,       17,      A,      L,      1,       NaN,              NaN,               NaN,               NaN                  
194,     0,       13,      P4,     3,       4,       8,       18,      B,      L,      1,       85.6915183470894, 130.389214434276,  111.470649845635,  0.107491844253644    
