Date_________JDUT, , ,Azi_(a-app), Elev_(a-app),
************************************************
$$SOE
2459548.750000000,*,m, 133.153979,    21.671802,
2459548.750694444,*,m, 132.904053,    21.671936,
2459548.751388889,*,m, 132.654127,    21.672069,
2459548.752083333,*,m, 132.404201,    21.672203,
2459548.752777778,*,m, 132.154275,    21.672337,
2459548.753472222,*,m, 131.904349,    21.672470,
2459548.754166667,*,m, 131.654423,    21.672604,
2459548.754861111,*,m, 131.404497,    21.672738,
2459548.755555556,*,m, 131.154571,    21.672872,
2459548.756250000,*,m, 130.904644,    21.673006,
2459548.756944444,*,m, 130.654718,    21.673141,
2459548.757638889,*,m, 130.404792,    21.673275,
2459548.758333333,*,m, 130.154866,    21.673409,
2459548.759027778,*,m, 129.904939,    21.673544,
2459548.759722222,*,m, 129.655013,    21.673678,
2459548.760416667,*,m, 129.405086,    21.673813,
2459548.761111111,*,m, 129.155160,    21.673948,
2459548.761805556,*,m, 128.905233,    21.674082,
2459548.762500000,*,m, 128.655307,    21.674217,
2459548.763194445,*,m, 128.405380,    21.674352,
2459548.763888889,*,m, 128.155454,    21.674487,
2459548.764583333,*,m, 127.905527,    21.674622,
2459548.765277778,*,m, 127.655600,    21.674757,
2459548.765972222,*,m, 127.405674,    21.674893,
2459548.766666667,*,m, 127.155747,    21.675028,
2459548.767361111,*,m, 126.905820,    21.675163,
2459548.768055555,*,m, 126.655893,    21.675299,
2459548.768750000,*,m, 126.405966,    21.675434,
2459548.769444444,*,m, 126.156039,    21.675570,
2459548.770138889,*,m, 125.906112,    21.675706,
2459548.770833333,*,m, 125.656185,    21.675841,
2459548.771527778,*,m, 125.406258,    21.675977,
2459548.772222222,*,m, 125.156331,    21.676113,
2459548.772916667,*,m, 124.906404,    21.676249,
2459548.773611111,*,m, 124.656477,    21.676385,
2459548.774305556,*,m, 124.406550,    21.676521,
2459548.775000000,*,m, 124.156623,    21.676658,
2459548.775694444,*,m, 123.906695,    21.676794,
2459548.776388889,*,m, 123.656768,    21.676930,
2459548.777083333,*,m, 123.406841,    21.677066,
